flight_iata,Aircraft_Model,Aircraft_isTurboProp,Aircraft_isWidebody
TR608,Airbus A321neo,False,False
WE2,Airbus A320 (sharklets),False,False
AK890,Airbus A320,False,False
SQ950,Boeing 777-300ER,False,True
AK5202,Airbus A320,False,False
AK5246,Airbus A320,False,False
599999999999999981180196647507853312,None,None,None
WE259,Airbus A320 (sharklets),False,False
AK6144,Airbus A320,False,False
B3701,Airbus A319,False,False
PG101,Airbus A319,False,False
VZ130,Airbus A320,False,False
WE100,None,None,None
AK272,Airbus A320,False,False
VZ300,None,None,None
AK5108,Airbus A320,False,False
AK5651,Airbus A320,False,False
AK5744,Airbus A320,False,False
3K761,Airbus A320,False,False
VZ100,Airbus A320,False,False
AK11,Airbus A320,False,False
AK516,Airbus A320,False,False
TR978,None,None,None
FD4402,Airbus A320,False,False
PG431,None,None,None
AK701,Airbus A320,False,False
MH602,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
QR890,Boeing 777-200LR,False,True
RA416,Airbus A320,False,False
60000000000000004991496389295465462970677278814214746537984,None,None,None
BS308,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SG84,Boeing 737 Passenger,False,False
TR812,Airbus A321neo,False,False
6E1818,None,None,None
6000000000000000578799285889800569438076928,None,None,None
SG88,Boeing 737 Passenger,False,False
H9873,Airbus A320,False,False
KU414,Boeing 777-300ER,False,True
5J932,Airbus A321neo,False,False
XJ700,Airbus A330-300,False,True
TR842,Boeing 787-8,False,True
5999999999999999639585589271836707318150923908254937449686028207821815598284800,None,None,None
BR61,Boeing 787-10,False,True
5999999999999999789184508585700536127082946935780278272,None,None,None
TW106,Boeing 737 Passenger,False,False
BG387,Boeing 787-8,False,True
TW172,Airbus A330,False,True
7C2206,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH164,Airbus A330-300,False,True
SQ402,Boeing 787-10,False,True
D7236,Airbus A330-300,False,True
SV841,Boeing 787-9,False,True
3K779,Airbus A320,False,False
SQ52,Airbus A350-900,False,True
SQ366,Airbus A350-900,False,True
SQ392,Airbus A350-900,False,True
EK377,Airbus A380-800 Passenger,False,True
HX780,Airbus A330-300,False,True
CI756,Airbus A330-300,False,True
QR945,Airbus A350-1000,False,True
TR2,Boeing 787-9,False,True
TR890,None,None,None
QR837,Boeing 777-300ER,False,True
EK343,Airbus A380-800 Passenger,False,True
ET629,Boeing 787-9,False,True
5J502,Airbus A321neo,False,False
KL836,Boeing 777-300ER,False,True
KE646,Boeing 777-300ER,False,True
SQ346,Boeing 777-300ER,False,True
SQ478,Airbus A350-900,False,True
SQ618,Boeing 787-10,False,True
TR14,None,None,None
TW102,Airbus A330,False,True
TR396,Airbus A320neo,False,False
VZ810,Airbus A321,False,False
SQ672,Boeing 787-10,False,True
XJ612,Airbus A330-300,False,True
5J548,Airbus A320,False,False
7C2252,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MM92,Airbus A321neo,False,False
5J804,Airbus A320,False,False
SQ306,Boeing 777-300ER,False,True
SQ918,Boeing 787-10,False,True
